iwn_id	iwn_category	english_id	english_category	english_synset_words	english_gloss	hindi_synset	hindi_gloss	tamil_synset	tamil_gloss	type_link
1	ADJECTIVE	1796323	ADJECTIVE	unborn	"not yet brought into existence; ""unborn generations"""	अजन्मा,अजात,अनुत्पन्न,अनुद्भूत,अप्रादुर्भूत,अज,अजन,अजन्म,अनन्यभव,अनागत,अयोनि	जिसने जन्म न लिया हो|| देवकी के अजन्मे बालकों के विषय में भविष्यवाणी हुई थी । 	பிறக்காத	பிறக்காத||  கணவனும் மனைவியும் பிறக்காத குழந்தைக்கு இப்பொழுதே பெயரைத் தேர்வு செய்தனர். 	Direct
100	ADJECTIVE	975187	ADJECTIVE	experienced, experient	having experience; having knowledge or skill from observation or participation	अनुभवी,जानकार,परिपक्व,तजुर्बेकार,तजुरबेकार,तजर्बेकार,तजरबेकार,तजरबाकार,तजरुबाकार,मँजा हुआ,जहाँदीद,जहाँदीदा,आज़मूदाकार,आजमूदाकार	अनुभव रखनेवाला या जिसे किसी काम,वस्तु आदि का अनुभव हो|| इस काम के लिए एक अनुभवी व्यक्ति की आवश्यकता है । 	அனுபவமுள்ள, அனுபவமான, பக்குவமுள்ள, பக்குவமான, தெரிந்த, தெரிந்துள்ள, அறிந்த, அறிந்துள்ள	ஒரு துறையில் நேரடியாக ஈடுபட்டுப் பெறும் தேர்ச்சி உள்ள செயல்.||  இந்த வேலைக்கு அனுபவமுள்ள ஆள் தேவை 	Direct
101	ADJECTIVE	975187	ADJECTIVE	experienced, experient	having experience; having knowledge or skill from observation or participation	भुक्तभोगी,भोगी	जो भोग चुका हो या भुगतने वाला|| आजकल रेल में आरक्षण मिलना कितना मुश्किल है यह कोई भुक्तभोगी व्यक्ति ही जान सकता है । 	சுகவாசியான, சுகபோகியான, சுகஜீவியான, சுகப்பிரியனான, இன்பப்பிரியனான, சுகவிருப்பமான, இன்பவிருப்பமான, அனுபோகியான	இன்பத்தை அனுபவித்த அல்லது அனுபவிக்க போகிற||  இந்நாட்களில் தொடர்வண்டி முன்பதிவு செய்வது எவ்வளவு கடினமானது என்பதை ஒரு சுகவாசியான நபர்தான் அறிவான் 	Direct
10001	NOUN	532338	NOUN	folk_dancing, folk_dance	a style of dancing that originated among ordinary people (not in the royal courts)	लोकनृत्य,लोक-नृत्य,लोक नृत्य	वे नृत्य या नाच जो गाँवों में नाचे जाते हैं|| विद्यालय के वार्षिक समारोह में बच्चों ने तरह-तरह के लोकनृत्य प्रस्तुत किए । 	நாட்டுபுறக்கலை	குறிப்பிட்ட நிலப்பகுதியில் வாழும் மக்களின் பண்பாட்டைப் பிரதிபலிக்கும் கலை.||  பள்ளி ஆண்டுவிழாவில் குழந்தைகள் வித-விதமான நாட்டுபுறகலைத் தொடர்பான நிகழ்சிகளை நடத்தினர் 	Direct
14087	NOUN	532338	NOUN	folk_dancing, folk_dance	a style of dancing that originated among ordinary people (not in the royal courts)	गरबा	एक गुजराती लोक-नृत्य जिसमें औरतें देवी की प्रतिमा के सामने या चारों ओर गोला बनाकर तथा कमर या सर पर घड़ा रखकर गाते हुए विशिष्ट रूप से नाचती हैं|| नौरात्र में जगह-जगह गरबे का आयोजन किया जाता है । 	கர்பா	பெண்கள் தேவியின் சிலையின் முன்பு அல்லது நான்குபக்கம் வட்டம் உருவாக்கி மேலும் இடுப்பு அல்லது  தலை மீது பானை வைத்து பாடி ஆடும்  ஒரு குஜராத்திய நாட்டுப்புற நடனம்||  நவராத்திரியில் இடத்திற்கு - இடம் கர்பா நடனத்திற்கு ஏற்பாடு செய்யப்படுகிறது 	Hypernymy
9985	NOUN	532338	NOUN	folk_dancing, folk_dance	a style of dancing that originated among ordinary people (not in the royal courts)	लावनी,लावणी	महाराष्ट्र का एक प्रसिद्ध लोकनृत्य|| लावनी के अनेक प्रकार होते हैं । 	லாவணி	மகாராஷ்டிராவில் ஒரு புகழ்பெற்ற நாட்டுப்புற நடனம்||  பெரும்பாலும் கோல்ஜாதி ஜாதிப்பெண்கள் முதலில் லாவணி நடனம் ஆடுகின்றனர் 	Hypernymy
10002	NOUN	576770	NOUN	welfare_work, social_service	an organized activity to improve the condition of disadvantaged people in society	लोकसेवा,जनसेवा	जन-साधारण के हित अथवा उपकार के लिए सेवाभाव से किए जाने वाले काम|| मदर टेरेसा ने अपना सारा जीवन लोकसेवा में बीताया । 	மக்கள்தொண்டு	மனித இனத்திற்கு தன்னலம் கருதாமல், எந்த வித ஆதாயத்தையும் எதிர்பார்க்காமல் ஒன்றின் நன்மைக்காக அல்லது வளர்ச்சி போன்றவற்றுக்காகச் செய்யும் பணி,சேவை||  அன்னை தெரேசா தன் வாழ்க்கை முழுவதையும் மக்கள்தொண்டு என்ற ஒன்றுக்கே தியாகம் செய்தார் 	Direct
10003	NOUN	580235	NOUN	public_service	employment within a government system (especially in the civil service)	लोकसेवा,जनसेवा	राज्य की सेवा या नौकरी,जो वस्तुतः जनसाधारण के हित के लिए होती है|| पुलिस,न्यायाधीश आदि लोकसेवा के लिए नियुक्त किए जाते हैं । 	மக்கள்தொண்டு	மனித இனத்திற்கு தன்னலம் கருதாமல், எந்த வித ஆதாயத்தையும் எதிர்பார்க்காமல் ஒன்றின் நன்மைக்காக அல்லது வளர்ச்சி போன்றவற்றுக்காகச் செய்யும் பணி,சேவை||  காவலர்கள், நீதிபதி போன்றவர்கள் மக்கள்தொண்டு என்ற ஒன்றுக்கே நியமிக்கப் படுகின்றனர் 	Direct
10004	NOUN	580235	NOUN	public_service	employment within a government system (especially in the civil service)	लोकसेवा आयोग,लोक सेवा आयोग	राज्य द्वारा नियुक्त कुछ व्यक्तियों का वह आयोग या समिति जिसके जिम्मे लोकसेवा संबंधी पदों पर नियुक्त करने के लिए प्रार्थियों में से उपयुक्त व्यक्ति चुनने का काम होता है|| लोकसेवा आयोग लोगों को लोकसेवा के लिए नियुक्त करने से पहले उनकी लिखित और मौखिक परिक्षाएंॅ लेता है । 	மக்கள்_தொண்டு	தன்னலம் கருதாமல் எவ்வித ஆதாயத்தையும் எதிர்பார்க்காமல் பிறரின் நன்மைக்காகச் செய்யும் பணி||  மக்கள் தொண்டு செய்கிற தலைவனை தேர்ந்தெடுப்பது மிகவும் கடினமாக இருக்கிறது 	Direct
10006	VERB	1848441	VERB	wallow, welter	"roll around, ""pigs were wallowing in the mud"""	लोटना	भूमि या किसी आधार पर चित्त या पट होते हुए इधर-उधर होना|| अपनी ज़िद्द पूरी कराने के लिए बच्चे अक़सर ज़मीन पर लोटते हैं । 	உருள், உருளு	படுத்த நிலையில் பக்கவாட்டில்தொடர்ந்து ஒரே திசையில் மீண்டும் மீண்டும் புரண்டு நகர்தல்.||  தன்னுடைய எண்ணம் நிறைவேறும் வரை குழந்தைகள் தரையில் விழுந்து உருளல் வழக்கமாக கொண்டுள்ளனர் 	Direct
